longitude,latitude
-111.001328,32.209174
-110.99858,32.223779
-111.0182,32.217665
-110.9976,32.21539
-110.99549,32.211555
-110.989592,32.210222
-110.995536,32.205539
-111.007041,32.226788
-111.009675,32.21717
-110.99878,32.212103
-110.9874,32.210496
-110.993529,32.214755
-111.003724,32.224658
-111.019393,32.210994
-111.008525,32.21105
-111.008086,32.211673
-111.005898,32.208842
-111.000453,32.219134
-111.001507,32.216638
-111.011462,32.210369
-111.011028,32.211827
-111.020086,32.225494
-111.009876,32.21544
-111.010202,32.207609
-110.990224,32.207545
-110.995201,32.209897
-111.001787,32.215632
-110.990501,32.213904
-110.992676,32.216304
-111.005618,32.218266
-111.018116,32.209309
-110.994413,32.205442
-111.018486,32.218162
-111.009946,32.215493
-110.987871,32.211987
-111.003659,32.226139
-111.012682,32.210398
-110.992546,32.20726
-110.990415,32.2162
-110.992808,32.216683
-111.019509,32.220079
-111.007875,32.215158
-110.988935,32.20778
-110.990822,32.208395
-111.000404,32.219815
-110.990518,32.20856
-110.996975,32.213427
-110.991959,32.208762
-111.012109,32.225149
-111.013232,32.226521
-110.990075,32.203916
-110.9924,32.212413
-111.005686,32.215724
-110.992056,32.201371
-110.98921,32.208188
-110.990131,32.208825
-111.018335,32.214419
-111.009431,32.215062
-110.992756,32.21632
-110.991605,32.216845
-110.992687,32.212664
-111.001353,32.214188
-111.012034,32.219383
-110.984023,32.212556
-110.995297,32.206491
-110.993764,32.212567
-111.018205,32.215281
-111.004389,32.218023
-111.003272,32.218616
-111.004438,32.211378
-111.004194,32.211261
-111.004222,32.211098
-111.003891,32.210527
-111.003739,32.210462
-111.00351,32.209763
-110.987361,32.208257
-110.988894,32.210058
-110.99004,32.208422
-110.984474,32.21136
-110.997615,32.21933
-111.007951,32.214865
-110.992921,32.217069
-111.001756,32.22107
-110.990433,32.213513
-110.994434,32.217309
-111.002227,32.21036
-111.001149,32.209738
-111.001259,32.209749
-111.004251,32.221355
-111.003513,32.212965
-111.000178,32.219406
-111.002335,32.21105
-111.008266,32.215209
-110.989284,32.206603
-111.01345,32.216543
-111.006443,32.214126
-110.998431,32.223822
-111.0024,32.2228
-110.989087,32.214797
-110.996882,32.206759
-110.997254,32.213819
-111.012463,32.22637
-111.013593,32.230112
-111.012478,32.227371
-111.020796,32.213888
-110.99376,32.200085
-110.993569,32.200171
-110.984403,32.212935
-110.998598,32.223563
-111.002067,32.218895
-110.989036,32.214683
-110.988784,32.207938
-110.990868,32.209321
-111.001217,32.210604
-111.001696,32.221529
-110.995768,32.221641
-111.018918,32.218697
-111.003011,32.217913
-110.989776,32.207141
-110.993742,32.199977
-110.993924,32.20766
-110.993411,32.211057
-111.004486,32.210507
-111.01221,32.231482
-111.009453,32.215065
-111.004388,32.221837
-111.002512,32.215401
-110.998871,32.206722
-111.016544,32.207063
-111.01352,32.223564
-111.004003,32.221412
-110.993934,32.207443
-110.989879,32.207939
-110.989821,32.207885
-110.990408,32.216008
-111.005243,32.222441
-111.00455,32.20681
-110.998666,32.214176
-110.99035,32.207674
